S.N,Device,PM 2.5,Calibrated PM 2.5,Inserted Date
298,AQM Putalisadak,108,73.79,2018-11-28 21:34:44 ( Asia/Katmandu)
299,AQM Putalisadak,117,79.83,2018-11-28 21:25:14 ( Asia/Katmandu)
300,AQM Putalisadak,121,82.51,2018-11-28 21:15:21 ( Asia/Katmandu)
301,AQM Putalisadak,137,93.24,2018-11-28 21:05:10 ( Asia/Katmandu)
302,AQM Putalisadak,150,101.96,2018-11-28 20:55:40 ( Asia/Katmandu)
303,AQM Putalisadak,126,85.87,2018-11-28 20:45:05 ( Asia/Katmandu)
304,AQM Putalisadak,128,87.21,2018-11-28 20:34:17 ( Asia/Katmandu)
305,AQM Putalisadak,137,93.24,2018-11-28 20:24:09 ( Asia/Katmandu)
306,AQM Putalisadak,114,77.82,2018-11-28 20:15:27 ( Asia/Katmandu)
307,AQM Putalisadak,102,69.77,2018-11-28 20:04:22 ( Asia/Katmandu)
308,AQM Putalisadak,105,71.78,2018-11-28 19:55:14 ( Asia/Katmandu)
309,AQM Putalisadak,109,74.46,2018-11-28 19:44:53 ( Asia/Katmandu)
310,AQM Putalisadak,103,70.44,2018-11-28 19:34:32 ( Asia/Katmandu)
311,AQM Putalisadak,115,78.49,2018-11-28 19:25:48 ( Asia/Katmandu)
312,AQM Putalisadak,115,78.49,2018-11-28 19:14:12 ( Asia/Katmandu)
313,AQM Putalisadak,123,83.85,2018-11-28 19:05:14 ( Asia/Katmandu)
314,AQM Putalisadak,105,71.78,2018-11-28 18:54:35 ( Asia/Katmandu)
